Calendar Year,Property ID,Property Adress,Property ZIP Code,Year Built,ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Indoor Water Use (All Water Sources) (kgal),Borough,Latitude,Longitude,Community Board,Borough_CommBoard
2022,6268609,1470 St. Johns Place,11213,1923,13,137.7,4847215.7,4340,BROOKLYN,40.670518,-73.9299,308,BROOKLYN_308
2022,6268610,1874 Loring Place,10453,1924,13,135.3,6483265.3,607.4,BRONX,40.853284,-73.915234,205,BRONX_205
2022,6268612,69 West Tremont Ave,10453,1925,41,94.3,4018167.3,1906.8,BRONX,40.851036,-73.912143,205,BRONX_205
2022,6268613,1441 St. Johns Place,11213,1924,98,37,1761756.5,,BROOKLYN,40.670565,-73.930502,308,BROOKLYN_308
2022,6268614,770 Bryant Ave,10474,1920,44,122.7,4190675.8,7201.5,BRONX,40.816092,-73.885935,202,BRONX_202
2022,6268617,111 W. 183rd St,10453,1941,51,103.5,5175496.6,4807,BRONX,40.860289,-73.909115,207,BRONX_207
2022,6268618,331 E. 146 st,10451,1915,100,36.3,1583331.6,1510.3,BRONX,40.815496,-73.92134,201,BRONX_201
2022,6268619,760 Bryant Ave,10474,1915,90,77.1,3238237.2,5606.6,BRONX,40.815933,-73.885892,202,BRONX_202
2022,6268620,2825 Webb Ave,10468,1924,77,86,3870026.9,5531.1,BRONX,40.872804,-73.900811,208,BRONX_208
2022,6304428,940 E. 174th St.,10460,1917,3,146.9,3889968.1,4641.9,BRONX,40.837013,-73.886698,203,BRONX_203
2022,6304429,1796 Vyse Ave.,10460,1931,34,122.1,4433511.3,5978.3,BRONX,40.837583,-73.885472,203,BRONX_203
2022,6304430,866 E. 165th St.,10459,2007,59,85.8,2463109.6,3310.6,BRONX,40.823702,-73.899019,202,BRONX_202
2022,6304431,601 East 163rd Street,10456,2012,59,80.1,2013582.5,,BRONX,40.823789,-73.90759,203,BRONX_203
2022,6304432,232 East 169th Street,10456,2012,72,60.2,2091525.6,1482,BRONX,40.83581,-73.914363,204,BRONX_204
2022,10825160,814 East 181st Street,10460,1931,55,94.4,3138194.5,2530.9,BRONX,40.847136,-73.884526,206,BRONX_206
2022,10825179,1060 Rev. James Polite Ave,10459,2018,90,53.3,2756571,2837.4,BRONX,40.825102,-73.898833,202,BRONX_202
2022,6826892,914 47th Street,11219,1926,100,34.9,1241707.2,1881,BROOKLYN,40.641127,-73.999214,312,BROOKLYN_312
2022,6826893,5001 10th Avenue,11219,1923,100,8.7,282786.6,1950.4,BROOKLYN,40.638365,-73.999384,312,BROOKLYN_312
2022,6826895,1016 50th Street,11219,1925,69,78.9,3188541.1,818.4,BROOKLYN,40.63814,-73.9988,312,BROOKLYN_312
2022,6826896,902 47th Street,11219,1926,94,62.8,1898101.5,1430.7,BROOKLYN,40.641242,-73.999402,312,BROOKLYN_312
2022,6826907,961 42nd Street,11219,1926,100,9.2,324754.2,,BROOKLYN,40.643504,-73.995561,312,BROOKLYN_312
2022,6826909,1084 New York Avenue,11203,1926,46,96.7,4608396.7,,BROOKLYN,40.646604,-73.946228,317,BROOKLYN_317
2022,6882219,1074 Eastern Parkway,11213,1922,20,108.5,3206092.4,2015.8,BROOKLYN,40.668879,-73.932717,309,BROOKLYN_309
2022,6882306,26-49 96th Street,11369,1927,56,88.5,5005072.7,7241.1,QUEENS,40.76175,-73.873076,403,QUEENS_403
2022,8156323,864 49th Street,11219,1930,100,6.1,414544.4,1284.4,BROOKLYN,40.640863,-74.001794,312,BROOKLYN_312
2022,6689143,1256 Ocean Ave,11230,2014,22,81.8,2116491.5,902.9,BROOKLYN,40.631652,-73.957523,314,BROOKLYN_314
